# GrowSpot species light levels — snapshot 2026-09-05 — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
common_name,scientific_name,light_requirement
Flowering maple,Abutilon hybridum,high
Chenille plant,Acalypha hispida,high
Copperleaf,Acalypha wilkesiana,high
Pinecone Bromeliad,Acanthostachys strobilacea,high
Painted Tongue Achimenes,Achimenes longiflora,medium
Superb Acineta,Acineta superba,medium
Japanese sweet flag,Acorus gramineus,medium
Orange Ada,Ada aurantiaca,medium
Arabian Desert Rose,Adenium arabicum,very_high
Bushman's Poison Bush,Adenium boehmianum,very_high
Impala Lily,Adenium multiflorum,very_high
Desert Rose,Adenium obesum,very_high
Swazi Desert Rose,Adenium swazicum,very_high
Western Maidenhair Fern,Adiantum aleuticum,low
Southern Maidenhair Fern,Adiantum capillus-veneris,medium
Rosy Maidenhair Fern,Adiantum hispidulum,low
Northern Maidenhair Fern,Adiantum pedatum,medium
Delta Maidenhair Fern,Adiantum raddianum,medium
Brittle Maidenhair Fern,Adiantum tenerum,low
Christmas Palm,Adonidia merrillii,high
Crinkle Leaf Plant,Adromischus cristatus,high
Calico Hearts,Adromischus maculatus,high
Orange Bromeliad,Aechmea blanchetiana,high
Wax Torch,Aechmea bromeliifolia,medium
Tailed Aechmea,Aechmea caudata,high
Amazonian Zebra Plant,Aechmea chantinii,high
Brazilian Vase Plant,Aechmea distichantha,high
Urn Plant,Aechmea fasciata,high
Fendler's Aechmea,Aechmea fendleri,high
Matchstick Bromeliad,Aechmea gamosepala,high
Mexican Aechmea,Aechmea mexicana,high
Bare-stemmed Aechmea,Aechmea nudicaulis,high
Recurved Aechmea,Aechmea recurvata,high
Weilbach's Aechmea,Aechmea weilbachii,medium
Kiwi Aeonium (Dream Color),Aeonium 'Kiwi',high
Mardi Gras Aeonium,Aeonium 'Mardi Gras',high
Sunburst / Copper Pinwheel,Aeonium 'Sunburst',high
Greenovia mountain rose,Aeonium aizoon,high
Tree Aeonium,Aeonium arboreum,high
Purple Tree Aeonium,Aeonium arboreum 'Atropurpureum',high
Black Rose Aeonium,Aeonium arboreum 'Zwartkop',very_high
Balsam aeonium,Aeonium balsamiferum,high
Giant velvet rose,Aeonium canariense,high
Suzanne's aeonium,Aeonium castello-paivae,high
Wedge aeonium,Aeonium cuneatum,high
Bramwell's aeonium,Aeonium davidbramwellii,high
Green Pinwheel,Aeonium decorum,very_high
Madeira aeonium,Aeonium glandulosum,high
Gooch's aeonium,Aeonium goochiae,high
Pinwheel Aeonium,Aeonium haworthii,very_high
Lindley's aeonium,Aeonium lindleyi,high
Noble aeonium,Aeonium nobile,high
Pink aeonium,Aeonium percarneum,high
Dwarf aeonium,Aeonium sedifolium,high
Spoon-leaved aeonium,Aeonium spathulatum,high
Dinner plate aeonium,Aeonium tabuliforme,high
Saucer Plant / Dinner Plate Aeonium,Aeonium undulatum,very_high
Comet Orchid,Aerangis luteoalba,medium
Fragrant Aerides,Aerides odorata,high
Black Pagoda Lipstick Plant,Aeschynanthus longicaulis,medium
Royal red bugler,Aeschynanthus pulcher,medium
Lipstick plant,Aeschynanthus radicans,high
Lily of the Nile,Agapanthus praecox,high
Century plant,Agave americana,very_high
Caribbean agave,Agave angustifolia,very_high
Blue glow agave,Agave attenuata,high
Foxtail agave,Agave bracteosa,very_high
Mescal Ceniza,Agave colorata,very_high
Smooth-edged agave,Agave desmettiana,very_high
Thread-leaf agave,Agave filifera,very_high
Spider agave,Agave geminiflora,very_high
Creme Brulee Agave,Agave guiengola,very_high
Thorncrest Agave,Agave lophantha,very_high
Black-Spined Agave,Agave macroacantha,very_high
Mountain Agave,Agave montana,very_high
Whale's tongue agave,Agave ovatifolia,very_high
Artichoke agave,Agave parryi,very_high
Smallflower Agave,Agave parviflora,very_high
Mescal agave,Agave potatorum,very_high
Hedgehog Agave,Agave stricta,very_high
Blue Agave,Agave tequilana,very_high
Titanota agave,Agave titanota,very_high
Queen Victoria agave,Agave victoriae-reginae,very_high
Octopus agave,Agave vilmoriniana,very_high
Vicious Agave,Agave xylonacantha,very_high
Crown Fern,Aglaomorpha coronans,medium
Bear's Paw Fern,Aglaomorpha meyeniana,medium
Creta Chinese Evergreen,Aglaonema 'Creta',low
Cutlass Chinese Evergreen,Aglaonema 'Cutlass',low
Emerald Beauty Aglaonema,Aglaonema 'Emerald Beauty',low
First Diamond Chinese Evergreen,Aglaonema 'First Diamond',low
Lady Valentine Aglaonema,Aglaonema 'Lady Valentine',low
Maria Aglaonema,Aglaonema 'Maria',low
Pink Dalmatian Aglaonema,Aglaonema 'Pink Dalmatian',low
Red Anjamani Chinese Evergreen,Aglaonema 'Red Anjamani',medium
Red Siam Aglaonema,Aglaonema 'Red Siam',low
Red Valentine Chinese Evergreen,Aglaonema 'Red Valentine',medium
Siam Aurora Aglaonema,Aglaonema 'Siam Aurora',low
Silver Bay Aglaonema,Aglaonema 'Silver Bay',low
Silver Queen Aglaonema,Aglaonema 'Silver Queen',low
Sparkling Sarah Chinese Evergreen,Aglaonema 'Sparkling Sarah',low
Chinese Evergreen 'Stripes',Aglaonema 'Stripes',medium
Chinese Evergreen Very Red,Aglaonema 'Very Red',medium
Short-Spathe Aglaonema,Aglaonema brevispathum,low
Chinese evergreen,Aglaonema commutatum,low
Spotted Evergreen,Aglaonema costatum,low
Painted Aglaonema,Aglaonema crispum,low
Green Chinese evergreen,Aglaonema modestum,low
Painted Drop-tongue,Aglaonema nitidum,low
Painted Drop Tongue,Aglaonema pictum,low
Tricolor Aglaonema,Aglaonema pictum 'Tricolor',low
Aglaonema Rotundum,Aglaonema rotundum,medium
Malayan Sword,Aglaonema simplex,low
Purple allamanda,Allamanda blanchetii,high
Golden trumpet (Allamanda),Allamanda cathartica,high
Bush allamanda,Allamanda schottii,high
Chives,Allium schoenoprasum,high
Garlic Chives,Allium tuberosum,high
Alocasia Bambino,Alocasia 'Bambino Arrow',medium
Bambino Alocasia,Alocasia 'Bambino',medium
Black Zebrina Alocasia,Alocasia 'Black Zebrina',high
Corazon Alocasia,Alocasia 'Corazon',medium
Variegated Velvet Alocasia,Alocasia 'Frydek Variegated',high
Green Velvet Alocasia (micholitziana 'Frydek'),Alocasia 'Frydek',medium
Jacklyn Alocasia,Alocasia 'Jacklyn',medium
Maharani Alocasia,Alocasia 'Maharani',medium
Pink Dragon Alocasia,Alocasia 'Pink Dragon',medium
Regal Shields Alocasia,Alocasia 'Regal Shields',medium
Variegated Stingray Alocasia,Alocasia 'Stingray Variegata',high
Stingray Alocasia,Alocasia 'Stingray',medium
Venom Alocasia,Alocasia 'Venom',medium
Alocasia Polly (African Mask),Alocasia × amazonica 'Polly',medium
Alocasia Polly,Alocasia amazonica,medium
Alocasia Dragon Scale,Alocasia baginda,medium
Dragon Scale Mint Alocasia,Alocasia baginda 'Dragon Scale Mint',high
Dragon Scale Alocasia,Alocasia baginda 'Dragon Scale',medium
Silver Dragon Alocasia,Alocasia baginda 'Silver Dragon',medium
Alocasia Cuprea,Alocasia cuprea,medium
Red Secret / Mirror Plant,Alocasia cuprea 'Red Secret',medium
Dwarf Elephant Ear / California,Alocasia gageana 'Aurea',medium
Purple Sword Alocasia,Alocasia lauterbachiana,medium
Tiger Taro,Alocasia longiloba,medium
Green Splash Elephant Ear,Alocasia macrorrhiza 'Green Splash',high
Variegated Giant Taro,Alocasia macrorrhiza 'Variegata',high
