# What the published sources actually say about indoor light — 562 rows from 80 publishers — compilation CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
# Quotes remain the property of the publisher named in each row.
publisher,source_url,appears_on,subject,value_as_published,quote,read_on
ag.purdue.edu,https://ag.purdue.edu/news/department/hla/2021/07/jade-plant.html,https://growspotapp.com/guides/jade-plant-north-facing-window/,What it says,Strong sun reddens the edges,"""Although it can adapt to medium to high light conditions, it frequently develops red edges around the leaves in strong, direct sunlight.""",30 August 2026
ag.purdue.edu,https://ag.purdue.edu/news/department/hla/2021/07/jade-plant.html,https://growspotapp.com/guides/jade-plant-south-facing-window/,What it says,Strong sun reddens the edges,"""Although it can adapt to medium to high light conditions, it frequently develops red edges around the leaves in strong, direct sunlight.""",30 August 2026
apps.apple.com,https://apps.apple.com/us/app/light-meter-for-plant-lux-fc/id1628111038,https://growspotapp.com/guides/how-much-light-does-a-snake-plant-need/,What it says a snake plant needs,500 lux,per-plant figure — thrives at this level,29 August 2026
apps.apple.com,https://apps.apple.com/us/app/light-meter-for-plant-lux-fc/id1628111038,https://growspotapp.com/guides/snake-plant-south-facing-window/,What it says a snake plant needs,500 lux,per-plant figure — thrives at this level,29 August 2026
apps.apple.com,https://apps.apple.com/us/app/light-meter-for-plant-lux-fc/id1628111038,https://growspotapp.com/guides/snake-plant-west-facing-window/,What it says a snake plant needs,500 lux,per-plant figure — thrives at this level,29 August 2026
ask.ifas.ufl.edu,https://ask.ifas.ufl.edu/publication/AE030,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,"One air change per minute, summer","""A generally accepted minimum ventilation rate for temperature control in the summer is one air change per minute.""",30 August 2026
ask.ifas.ufl.edu,https://ask.ifas.ufl.edu/publication/AE030,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,"Two to three per hour, winter","""Ventilation requirements of greenhouses in winter are generally on the order of two to three air changes per hour.""",30 August 2026
ask.ifas.ufl.edu,https://ask.ifas.ufl.edu/publication/EP480,https://growspotapp.com/guides/minimum-temperature-for-houseplants/,The figure,50 °F,"For the same plant: ""Active growth will be reduced and injury may occur below 50°F."" Ten degrees below the line above.",30 August 2026
ask.ifas.ufl.edu,https://ask.ifas.ufl.edu/publication/EP480,https://growspotapp.com/guides/plants-that-tolerate-cold-drafts/,University extension service,50 °F,"""Active growth will be reduced and injury may occur below 50°F."" Ten degrees below what the factsheet above gives for the same plant.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/boston-fern,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Nephrolepis exalta bostoniensis, Dryopteridaceae.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/boston-fern,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Nephrolepis exalta bostoniensis, Dryopteridaceae.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/golden-pothos,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"". Principle: ""Insoluble calcium oxalates"". Signs: ""Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.""",30 August 2026
